msec	type	x_gm	y_gm
566950	Vehicle	-450.28966900000006	4585.283724
566950	Vehicle	-446.244541	4603.878835
566950	Pedestrian	-456.915071	4590.259835
566950	Pedestrian	-457.37160700000004	4593.60661
566950	Pedestrian	-447.85255199999995	4581.1802689999995
566950	Pedestrian	-445.755426	4584.129709000001
566950	Pedestrian	-454.67376900000005	4626.712729
566950	Pedestrian	-458.081443	4621.563225
566950	Vehicle	-450.28966900000006	4585.283724
566950	Vehicle	-446.244541	4603.878835
566950	Pedestrian	-456.915071	4590.259835
566950	Pedestrian	-457.37160700000004	4593.60661
566950	Pedestrian	-447.85255199999995	4581.1802689999995
566950	Pedestrian	-445.755426	4584.129709000001
566950	Pedestrian	-454.67376900000005	4626.712729
566950	Pedestrian	-458.081443	4621.563225
566974	Vehicle	-450.29619299999996	4585.106034
566974	Vehicle	-445.84107	4602.19248
566974	Pedestrian	-457.16263899999996	4590.410367
566974	Pedestrian	-457.313662	4593.310846
566974	Pedestrian	-447.687204	4580.498099
566974	Pedestrian	-445.76164000000006	4582.56719
566974	Pedestrian	-453.64599400000003	4620.149625
566974	Pedestrian	-458.514117	4623.7338310000005
566998	Vehicle	-450.32547400000004	4584.240372
566998	Vehicle	-445.392979	4600.641398
566998	Pedestrian	-457.39465599999994	4590.53364
566998	Pedestrian	-457.268749	4593.024697
566998	Pedestrian	-447.53115099999997	4579.838978
566998	Pedestrian	-445.755508	4581.118487
566998	Pedestrian	-452.889862	4614.871843999999
566998	Pedestrian	-458.516467	4623.746244
567022	Vehicle	-450.419068	4583.871655
567022	Vehicle	-444.942296	4599.160245
567022	Pedestrian	-457.61334000000005	4590.632369
567022	Pedestrian	-457.23345700000004	4592.7425539999995
567022	Pedestrian	-447.38294800000006	4579.195867
567022	Pedestrian	-445.733638	4579.850187
567022	Pedestrian	-452.137058	4609.847637
567022	Pedestrian	-458.518817	4623.758656
567022	Vehicle	-450.419068	4583.871655
567022	Vehicle	-444.942296	4599.160245
567022	Pedestrian	-457.61334000000005	4590.632369
567022	Pedestrian	-457.23345700000004	4592.7425539999995
567022	Pedestrian	-447.38294800000006	4579.195867
567022	Pedestrian	-445.733638	4579.850187
567022	Pedestrian	-452.137058	4609.847637
567022	Pedestrian	-458.518817	4623.758656
567046	Vehicle	-450.419068	4583.871655
567046	Vehicle	-444.521924	4597.761929
567046	Pedestrian	-457.81914000000006	4590.7069759999995
567046	Pedestrian	-457.201663	4592.454328
567046	Pedestrian	-447.242621	4578.5675439999995
567046	Pedestrian	-445.701524	4578.654293
567046	Pedestrian	-451.980329	4607.9383530000005
567046	Pedestrian	-458.521166	4623.771068999999
567071	Vehicle	-450.419068	4583.871655
567071	Vehicle	-444.13611900000006	4596.30729
567071	Pedestrian	-458.016117	4590.759805
567071	Pedestrian	-457.17815599999994	4592.165183
567071	Pedestrian	-447.11168	4577.952075
567071	Pedestrian	-445.65656900000005	4577.549492
567071	Pedestrian	-451.099798	4602.400139
567071	Pedestrian	-458.523613	4623.783998
567094	Vehicle	-450.419068	4583.871655
567094	Vehicle	-443.80181799999997	4594.802407
567094	Pedestrian	-458.203663	4590.796242
567094	Pedestrian	-457.159355	4591.876800999999
567094	Pedestrian	-446.98929699999997	4577.358089
567094	Pedestrian	-445.600662	4576.566213
567094	Pedestrian	-450.45853700000004	4598.134288
567094	Pedestrian	-458.525865	4623.795894
567094	Vehicle	-450.419068	4583.871655
567094	Vehicle	-443.80181799999997	4594.802407
567094	Pedestrian	-458.203663	4590.796242
567094	Pedestrian	-457.159355	4591.876800999999
567094	Pedestrian	-446.98929699999997	4577.358089
567094	Pedestrian	-445.600662	4576.566213
567094	Pedestrian	-450.45853700000004	4598.134288
567094	Pedestrian	-458.525865	4623.795894
567094	Vehicle	-450.419068	4583.871655
567094	Vehicle	-443.80181799999997	4594.802407
567094	Pedestrian	-458.203663	4590.796242
567094	Pedestrian	-457.159355	4591.876800999999
567094	Pedestrian	-446.98929699999997	4577.358089
567094	Pedestrian	-445.600662	4576.566213
567094	Pedestrian	-450.45853700000004	4598.134288
567094	Pedestrian	-458.525865	4623.795894
567119	Vehicle	-450.419068	4583.871655
567119	Vehicle	-443.487604	4593.118441
567119	Pedestrian	-458.38367300000004	4590.809906
567119	Pedestrian	-457.145266	4591.57986
567119	Pedestrian	-446.878633	4576.774546
567119	Pedestrian	-445.529725	4575.678976
567119	Pedestrian	-449.959266	4594.298195
567119	Pedestrian	-458.52831299999997	4623.808824000001
567144	Vehicle	-450.419068	4583.871655
567144	Vehicle	-443.200212	4591.404021
567144	Pedestrian	-458.554459	4590.802564
567144	Pedestrian	-457.140476	4591.284331
567144	Pedestrian	-446.88284400000003	4576.681811
567144	Pedestrian	-445.449541	4574.8260390000005
567144	Pedestrian	-449.527016	4590.9652479999995
567144	Pedestrian	-458.53076	4623.821753
567144	Vehicle	-450.419068	4583.871655
567144	Vehicle	-443.200212	4591.404021
567144	Pedestrian	-458.554459	4590.802564
567144	Pedestrian	-457.140476	4591.284331
567144	Pedestrian	-446.88284400000003	4576.681811
567144	Pedestrian	-445.449541	4574.8260390000005
567144	Pedestrian	-449.527016	4590.9652479999995
567144	Pedestrian	-458.53076	4623.821753
567167	Vehicle	-450.419068	4583.871655
567167	Vehicle	-442.942108	4589.765424
567167	Pedestrian	-458.71768499999996	4590.780859
567167	Pedestrian	-457.137155	4590.983143
567167	Pedestrian	-446.784645	4576.111749000001
567167	Pedestrian	-445.35989400000005	4574.083284
567167	Pedestrian	-449.294225	4588.891616
567167	Pedestrian	-458.533012	4623.833649
567167	Vehicle	-450.419068	4583.871655
567167	Vehicle	-442.942108	4589.765424
567167	Pedestrian	-458.71768499999996	4590.780859
567167	Pedestrian	-457.137155	4590.983143
567167	Pedestrian	-446.784645	4576.111749000001
567167	Pedestrian	-445.35989400000005	4574.083284
567167	Pedestrian	-449.294225	4588.891616
567167	Pedestrian	-458.533012	4623.833649
567191	Vehicle	-450.419068	4583.871655
567191	Vehicle	-442.633764	4588.257784
567191	Pedestrian	-458.874667	4590.739206
567191	Pedestrian	-457.138133	4590.6730560000005
567191	Pedestrian	-446.699607	4575.554746
567191	Pedestrian	-445.258509	4573.354077
567191	Pedestrian	-448.97437199999996	4586.36931
567191	Pedestrian	-458.535361	4623.846061
567191	Pedestrian	-447.96927900000003	4587.105964
567215	Vehicle	-450.419068	4583.871655
567215	Vehicle	-442.28213200000005	4586.836671999999
567215	Pedestrian	-459.025599	4590.679902000001
567215	Pedestrian	-457.144133	4590.358993
567215	Pedestrian	-446.631233	4575.019338
567215	Pedestrian	-445.14599699999997	4572.6980920000005
567215	Pedestrian	-448.84376399999996	4583.999982
567215	Pedestrian	-458.53771100000006	4623.858474000001
567215	Pedestrian	-448.555062	4587.3110130000005
567215	Vehicle	-450.419068	4583.871655
567215	Vehicle	-442.28213200000005	4586.836671999999
567215	Pedestrian	-459.025599	4590.679902000001
567215	Pedestrian	-457.144133	4590.358993
567215	Pedestrian	-446.631233	4575.019338
567215	Pedestrian	-445.14599699999997	4572.6980920000005
567215	Pedestrian	-448.84376399999996	4583.999982
567215	Pedestrian	-458.53771100000006	4623.858474000001
567215	Pedestrian	-448.555062	4587.3110130000005
567239	Vehicle	-450.419068	4583.871655
567239	Vehicle	-441.88278899999995	4585.479776
567239	Pedestrian	-459.167943	4590.600305
567239	Pedestrian	-457.154483	4590.038483
567239	Pedestrian	-446.574408	4574.4914100000005
567239	Pedestrian	-445.023688	4572.065621
567239	Pedestrian	-448.713157	4581.630654
567239	Pedestrian	-458.54006	4623.870886
567239	Pedestrian	-448.627363	4587.414139
567239	Vehicle	-450.419068	4583.871655
567239	Vehicle	-441.88278899999995	4585.479776
567239	Pedestrian	-459.167943	4590.600305
567239	Pedestrian	-457.154483	4590.038483
567239	Pedestrian	-446.574408	4574.4914100000005
567239	Pedestrian	-445.023688	4572.065621
567239	Pedestrian	-448.713157	4581.630654
567239	Pedestrian	-458.54006	4623.870886
567239	Pedestrian	-448.627363	4587.414139
567263	Vehicle	-450.419068	4583.871655
567263	Vehicle	-441.45654	4584.210587
567263	Pedestrian	-459.290175	4590.481897
567263	Pedestrian	-457.17158600000005	4589.715461
567263	Pedestrian	-446.575595	4574.37195
567263	Pedestrian	-444.88990199999995	4571.467973
567263	Pedestrian	-448.58255	4579.261326
567263	Pedestrian	-458.54240999999996	4623.883299
567263	Pedestrian	-448.691574	4587.485398
567287	Vehicle	-450.419068	4583.871655
567287	Vehicle	-441.081678	4582.877843
567287	Pedestrian	-459.42414400000007	4590.370265
567287	Pedestrian	-457.165095	4589.615801
567287	Pedestrian	-446.545774	4573.8639
567287	Pedestrian	-444.74724699999996	4570.887358
567287	Pedestrian	-448.451942	4576.891998
567287	Pedestrian	-448.70332699999994	4587.51835
567287	Pedestrian	-459.01023899999996	4625.138293
567311	Vehicle	-440.72972699999997	4581.56667
567311	Pedestrian	-459.55640800000003	4590.245384000001
