msec	type	x_gm	y_gm
617032	Vehicle	-430.64086799999995	4489.593853
617032	Vehicle	-441.144295	4502.284622
617032	Pedestrian	-423.40124299999997	4514.121373
617032	Pedestrian	-421.987474	4511.808168
617032	Pedestrian	-431.707124	4524.63666
617032	Pedestrian	-424.556971	4513.004148
617032	Pedestrian	-429.353371	4517.803325
617032	Pedestrian	-423.10683	4513.968913000001
617056	Vehicle	-430.47891	4489.586411
617056	Vehicle	-440.96009100000003	4502.230647
617056	Pedestrian	-423.407963	4514.1277820000005
617056	Pedestrian	-421.98436399999997	4511.833426
617056	Pedestrian	-424.560362	4512.991068
617056	Pedestrian	-429.360143	4517.825592
617056	Pedestrian	-423.07486600000004	4513.819570000001
617080	Vehicle	-430.36342300000007	4489.877639
617080	Vehicle	-440.75357599999995	4502.18522
617080	Pedestrian	-423.414682	4514.134190999999
617080	Pedestrian	-421.98906500000004	4511.7982090000005
617080	Pedestrian	-424.563753	4512.977988000001
617080	Pedestrian	-429.36691500000006	4517.847859
617080	Pedestrian	-423.082813	4513.701264
617080	Vehicle	-430.36342300000007	4489.877639
617080	Vehicle	-440.75357599999995	4502.18522
617080	Pedestrian	-423.414682	4514.134190999999
617080	Pedestrian	-421.98906500000004	4511.7982090000005
617080	Pedestrian	-424.563753	4512.977988000001
617080	Pedestrian	-429.36691500000006	4517.847859
617080	Pedestrian	-423.082813	4513.701264
617104	Vehicle	-430.204889	4489.8846109999995
617104	Vehicle	-440.558209	4502.22035
617104	Pedestrian	-423.42140199999994	4514.1406
617104	Pedestrian	-421.98596100000003	4511.823083
617104	Pedestrian	-424.56714400000004	4512.964909
617104	Pedestrian	-429.373687	4517.870126
617104	Pedestrian	-423.123688	4513.606866
617128	Vehicle	-430.036878	4489.826636
617128	Vehicle	-440.336446	4502.1813090000005
617128	Pedestrian	-423.428122	4514.147009
617128	Pedestrian	-421.9829730000001	4511.846926
617128	Pedestrian	-424.57053499999995	4512.951829
617128	Pedestrian	-429.380459	4517.892393
617128	Pedestrian	-423.10926399999994	4513.708359
617128	Vehicle	-430.036878	4489.826636
617128	Vehicle	-440.336446	4502.1813090000005
617128	Pedestrian	-423.428122	4514.147009
617128	Pedestrian	-421.9829730000001	4511.846926
617128	Pedestrian	-424.57053499999995	4512.951829
617128	Pedestrian	-429.380459	4517.892393
617128	Pedestrian	-423.10926399999994	4513.708359
617152	Vehicle	-429.873493	4489.7816
617152	Vehicle	-440.092988	4502.131573
617152	Pedestrian	-423.434842	4514.153418
617152	Pedestrian	-421.98427300000003	4511.856183
617152	Pedestrian	-424.573926	4512.938749
617152	Pedestrian	-429.387231	4517.914661
617152	Pedestrian	-423.11532800000003	4513.606220000001
617152	Vehicle	-429.873493	4489.7816
617152	Vehicle	-440.092988	4502.131573
617152	Pedestrian	-423.434842	4514.153418
617152	Pedestrian	-421.98427300000003	4511.856183
617152	Pedestrian	-424.573926	4512.938749
617152	Pedestrian	-429.387231	4517.914661
617152	Pedestrian	-423.11532800000003	4513.606220000001
617176	Vehicle	-429.71386399999994	4489.779502
617176	Vehicle	-439.82964100000004	4502.068218
617176	Pedestrian	-421.988732	4511.820769
617176	Pedestrian	-424.577316	4512.9256700000005
617176	Pedestrian	-429.394003	4517.936928
617176	Pedestrian	-423.107468	4513.507191
617176	Vehicle	-429.71386399999994	4489.779502
617176	Vehicle	-439.82964100000004	4502.068218
617176	Pedestrian	-421.988732	4511.820769
617176	Pedestrian	-424.577316	4512.9256700000005
617176	Pedestrian	-429.394003	4517.936928
617176	Pedestrian	-423.107468	4513.507191
617200	Vehicle	-429.56087199999996	4489.794516
617200	Vehicle	-439.539084	4501.905292
617200	Pedestrian	-421.98554800000005	4511.844370000001
617200	Pedestrian	-424.580707	4512.91259
617200	Pedestrian	-423.05645300000003	4513.599658
617224	Vehicle	-429.397058	4489.746196
617224	Vehicle	-439.271438	4501.760509000001
617224	Pedestrian	-421.989789	4511.810458
617224	Pedestrian	-424.611022	4512.815484000001
617224	Pedestrian	-423.07257300000003	4513.710511
617224	Vehicle	-429.397058	4489.746196
617224	Vehicle	-439.271438	4501.760509000001
617224	Pedestrian	-421.989789	4511.810458
617224	Pedestrian	-424.611022	4512.815484000001
