msec	type	x_gm	y_gm
576952	Vehicle	-436.24417300000005	4537.418817
576952	Vehicle	-440.365516	4531.600057
576952	Pedestrian	-452.94102999999996	4576.219894
576952	Pedestrian	-443.23482300000006	4573.183674
576952	Pedestrian	-465.88075	4592.29814
576952	Pedestrian	-455.11564699999997	4580.0921020000005
576952	Pedestrian	-444.294575	4577.660435
576952	Pedestrian	-446.505487	4582.5041200000005
576976	Vehicle	-435.92914800000005	4538.070544
576976	Vehicle	-440.365516	4531.600057
576976	Pedestrian	-443.246417	4573.262704
576976	Pedestrian	-463.56516100000005	4589.5106590000005
576976	Pedestrian	-455.048428	4579.823447
576976	Pedestrian	-446.507438	4582.504802
576976	Vehicle	-435.92914800000005	4538.070544
576976	Vehicle	-440.365516	4531.600057
576976	Pedestrian	-443.246417	4573.262704
576976	Pedestrian	-463.56516100000005	4589.5106590000005
576976	Pedestrian	-455.048428	4579.823447
576976	Pedestrian	-446.507438	4582.504802
577000	Vehicle	-437.315936	4535.568604
577000	Pedestrian	-443.258012	4573.341735
577000	Pedestrian	-461.64247300000005	4586.874407
577000	Pedestrian	-455.01721799999996	4579.594492
577000	Pedestrian	-446.487653	4582.499134000001
577000	Pedestrian	-448.654088	4572.894199
577024	Vehicle	-438.779727	4532.289845
577024	Pedestrian	-443.26960599999995	4573.420765
577024	Pedestrian	-459.979897	4584.261848
577024	Pedestrian	-454.986989	4579.392776
577024	Pedestrian	-446.481395	4582.497815
577024	Pedestrian	-448.654162	4572.894867
577048	Vehicle	-438.874666	4532.306263
577048	Pedestrian	-443.2812	4573.499795000001
577048	Pedestrian	-458.62019000000004	4581.863593
577048	Pedestrian	-454.882187	4578.982829
577048	Pedestrian	-446.43454699999995	4582.23002
577048	Pedestrian	-448.73463799999996	4573.378087
577048	Vehicle	-438.874666	4532.306263
577048	Pedestrian	-443.2812	4573.499795000001
577048	Pedestrian	-458.62019000000004	4581.863593
577048	Pedestrian	-454.882187	4578.982829
577048	Pedestrian	-446.43454699999995	4582.23002
577048	Pedestrian	-448.73463799999996	4573.378087
577072	Vehicle	-438.33083099999993	4534.630698
577072	Pedestrian	-443.14702400000004	4572.421789999999
577072	Pedestrian	-457.491013	4579.682582
577072	Pedestrian	-454.80277699999994	4578.618243999999
577072	Pedestrian	-446.41422800000004	4581.995855
577072	Pedestrian	-448.73449400000004	4573.3819060000005
577072	Pedestrian	-441.87207699999993	4563.771554999999
577072	Vehicle	-438.33083099999993	4534.630698
577072	Pedestrian	-443.14702400000004	4572.421789999999
577072	Pedestrian	-457.491013	4579.682582
577072	Pedestrian	-454.80277699999994	4578.618243999999
577072	Pedestrian	-446.41422800000004	4581.995855
577072	Pedestrian	-448.73449400000004	4573.3819060000005
577072	Pedestrian	-441.87207699999993	4563.771554999999
577096	Vehicle	-438.05378099999996	4535.165444
577096	Pedestrian	-443.04248099999995	4571.709594
577096	Pedestrian	-456.607218	4577.868888
577096	Pedestrian	-454.81119400000006	4578.519169
577096	Pedestrian	-445.497439	4574.999402
577096	Pedestrian	-448.734351	4573.385725
577096	Pedestrian	-441.87207699999993	4563.771554999999
577120	Vehicle	-437.684263	4535.405259
577120	Pedestrian	-443.044415	4571.717635
577120	Pedestrian	-455.819534	4576.08924
577120	Pedestrian	-454.82559000000003	4578.437256
577120	Pedestrian	-445.53801699999997	4575.3063170000005
577120	Pedestrian	-448.734207	4573.389545
577120	Pedestrian	-441.87207699999993	4563.771554999999
577120	Pedestrian	-438.371254	4550.672066
577145	Vehicle	-437.321713	4535.3202710000005
577145	Pedestrian	-443.18147	4572.843409
577145	Pedestrian	-455.169734	4574.4534969999995
577145	Pedestrian	-454.867295	4578.587593
577145	Pedestrian	-445.59950599999996	4575.608621
577145	Pedestrian	-448.734058	4573.393523
577145	Pedestrian	-441.87207699999993	4563.771554999999
577145	Pedestrian	-438.371318	4550.672073
577145	Pedestrian	-446.01984699999997	4582.152333
577145	Vehicle	-437.321713	4535.3202710000005
577145	Pedestrian	-443.18147	4572.843409
577145	Pedestrian	-455.169734	4574.4534969999995
577145	Pedestrian	-454.867295	4578.587593
577145	Pedestrian	-445.59950599999996	4575.608621
577145	Pedestrian	-448.734058	4573.393523
577145	Pedestrian	-441.87207699999993	4563.771554999999
577145	Pedestrian	-438.371318	4550.672073
577145	Pedestrian	-446.01984699999997	4582.152333
577169	Vehicle	-437.398233	4535.552675999999
577169	Pedestrian	-443.24947599999996	4573.390237
577169	Pedestrian	-454.67598499999997	4573.195675999999
577169	Pedestrian	-454.831092	4578.501369
577169	Pedestrian	-445.622237	4575.690820000001
577169	Pedestrian	-448.73391399999997	4573.397343
577169	Pedestrian	-441.87207699999993	4563.771554999999
577169	Pedestrian	-438.340221	4550.552772999999
577169	Pedestrian	-445.811845	4580.878327
577193	Vehicle	-437.48927199999997	4535.765217
577193	Pedestrian	-443.258197	4573.453947
577193	Pedestrian	-454.20286699999997	4571.934623
577193	Pedestrian	-454.799195	4578.4265
577193	Pedestrian	-445.58571500000005	4575.355969
577193	Pedestrian	-448.733771	4573.401162
577193	Pedestrian	-441.87207699999993	4563.771554999999
577193	Pedestrian	-438.33536	4550.5516689999995
577193	Pedestrian	-445.81025199999993	4580.871017
577193	Vehicle	-437.48927199999997	4535.765217
577193	Pedestrian	-443.258197	4573.453947
577193	Pedestrian	-454.20286699999997	4571.934623
577193	Pedestrian	-454.799195	4578.4265
577193	Pedestrian	-445.58571500000005	4575.355969
577193	Pedestrian	-448.733771	4573.401162
577193	Pedestrian	-441.87207699999993	4563.771554999999
577193	Pedestrian	-438.33536	4550.5516689999995
577193	Pedestrian	-445.81025199999993	4580.871017
577217	Vehicle	-437.638292	4535.920317
577217	Pedestrian	-443.266918	4573.517657
577217	Pedestrian	-453.810234	4570.818517000001
577217	Pedestrian	-454.778325	4578.364177
577217	Pedestrian	-445.54919299999995	4575.021119
577217	Pedestrian	-448.73362699999996	4573.404981000001
577217	Pedestrian	-441.87207699999993	4563.771554999999
577217	Pedestrian	-438.33049900000003	4550.550564
577217	Pedestrian	-444.22772699999996	4567.165365
577217	Vehicle	-437.638292	4535.920317
577217	Pedestrian	-443.266918	4573.517657
577217	Pedestrian	-453.810234	4570.818517000001
577217	Pedestrian	-454.778325	4578.364177
577217	Pedestrian	-445.54919299999995	4575.021119
577217	Pedestrian	-448.73362699999996	4573.404981000001
577217	Pedestrian	-441.87207699999993	4563.771554999999
577217	Pedestrian	-438.33049900000003	4550.550564
577217	Pedestrian	-444.22772699999996	4567.165365
577241	Vehicle	-437.84417	4535.992383
577241	Pedestrian	-443.275638	4573.581367
577241	Pedestrian	-453.52829299999996	4569.973984
577241	Pedestrian	-454.78122699999994	4578.3181159999995
577241	Pedestrian	-445.66411100000005	4575.641315
577241	Pedestrian	-448.733484	4573.408801
577241	Pedestrian	-441.87207699999993	4563.771554999999
577241	Pedestrian	-438.32563700000003	4550.54946
577241	Pedestrian	-444.41579400000006	4569.388179
577265	Vehicle	-438.08763700000003	4535.988352
577265	Pedestrian	-443.284359	4573.645077
577265	Pedestrian	-453.301676	4569.234821
577265	Pedestrian	-454.76355	4578.272693
577265	Pedestrian	-445.820941	4576.492166
577265	Pedestrian	-448.73334000000006	4573.41262
577265	Pedestrian	-441.87207699999993	4563.771554999999
577265	Pedestrian	-438.32077599999997	4550.548355
577265	Pedestrian	-444.544151	4570.886271
577265	Vehicle	-438.08763700000003	4535.988352
577265	Pedestrian	-443.284359	4573.645077
577265	Pedestrian	-453.301676	4569.234821
577265	Pedestrian	-454.76355	4578.272693
577265	Pedestrian	-445.820941	4576.492166
577265	Pedestrian	-448.73334000000006	4573.41262
577265	Pedestrian	-441.87207699999993	4563.771554999999
577265	Pedestrian	-438.32077599999997	4550.548355
577265	Pedestrian	-444.544151	4570.886271
577289	Vehicle	-438.341009	4535.948865
577289	Pedestrian	-443.293079	4573.708787
577289	Pedestrian	-453.116855	4568.589795
577289	Pedestrian	-454.68092199999995	4578.030786
577289	Pedestrian	-445.890941	4576.931898
577289	Pedestrian	-448.73319699999996	4573.416439
577289	Pedestrian	-441.697963	4562.423497
577289	Pedestrian	-438.315915	4550.547251
577289	Pedestrian	-444.582164	4571.718215
577289	Vehicle	-438.341009	4535.948865
577289	Pedestrian	-443.293079	4573.708787
577289	Pedestrian	-453.116855	4568.589795
577289	Pedestrian	-454.68092199999995	4578.030786
577289	Pedestrian	-445.890941	4576.931898
577289	Pedestrian	-448.73319699999996	4573.416439
577289	Pedestrian	-441.697963	4562.423497
577289	Pedestrian	-438.315915	4550.547251
577289	Pedestrian	-444.582164	4571.718215
577314	Vehicle	-438.58123600000005	4535.923774
577314	Pedestrian	-443.302163	4573.775151
577314	Pedestrian	-452.91589400000004	4567.8548200000005
577314	Pedestrian	-454.623958	4577.813805
577314	Pedestrian	-445.969288	4577.32328
577314	Pedestrian	-448.733047	4573.420418
577314	Pedestrian	-441.778939	4562.901041
577314	Pedestrian	-438.31085099999996	4550.5461
577314	Pedestrian	-444.687944	4572.401918
577337	Vehicle	-438.787197	4535.928441
577337	Pedestrian	-443.310521	4573.836207
577337	Pedestrian	-452.694058	4567.17039
577337	Pedestrian	-454.506691	4577.4401450000005
577337	Pedestrian	-446.023094	4577.672538000001
577337	Pedestrian	-448.73290999999995	4573.424078
577337	Pedestrian	-441.725458	4562.664106
577337	Pedestrian	-438.306192	4550.545042
577337	Pedestrian	-444.79584500000004	4573.213504
577337	Pedestrian	-451.29741500000006	4551.644719
577362	Vehicle	-438.971204	4535.968637
577362	Pedestrian	-443.31960499999997	4573.9025710000005
577362	Pedestrian	-452.55473600000005	4566.605718
577362	Pedestrian	-454.451325	4577.270364
577362	Pedestrian	-446.085349	4577.983722
577362	Pedestrian	-441.67300300000005	4562.340692
577362	Pedestrian	-438.301128	4550.543890999999
577362	Pedestrian	-444.871013	4573.913090999999
577362	Pedestrian	-451.29741500000006	4551.644719
577362	Vehicle	-438.971204	4535.968637
577362	Pedestrian	-443.31960499999997	4573.9025710000005
577362	Pedestrian	-452.55473600000005	4566.605718
577362	Pedestrian	-454.451325	4577.270364
577362	Pedestrian	-446.085349	4577.983722
577362	Pedestrian	-441.67300300000005	4562.340692
577362	Pedestrian	-438.301128	4550.543890999999
577362	Pedestrian	-444.871013	4573.913090999999
577362	Pedestrian	-451.29741500000006	4551.644719
577386	Vehicle	-439.128711	4536.021229
577386	Pedestrian	-443.328325	4573.966281
577386	Pedestrian	-452.439375	4566.154734000001
577386	Pedestrian	-454.42006399999997	4577.128823
577386	Pedestrian	-446.09471799999994	4578.019107
577386	Pedestrian	-441.652615	4562.267114
577386	Pedestrian	-438.22027599999996	4550.107373
577386	Pedestrian	-444.905528	4574.30825
577386	Pedestrian	-451.29741500000006	4551.644719
577410	Vehicle	-439.26356	4536.077883
577410	Pedestrian	-443.337046	4574.029990999999
577410	Pedestrian	-452.347087	4565.76245
577410	Pedestrian	-454.333426	4576.826047
577410	Pedestrian	-446.103054	4578.052265
577410	Pedestrian	-441.65355999999997	4562.21276
577410	Pedestrian	-438.20839900000004	4550.090204
577410	Pedestrian	-444.93879400000003	4574.664396
577410	Pedestrian	-451.29741500000006	4551.644719
577434	Vehicle	-439.37342300000006	4536.136523
577434	Pedestrian	-443.345766	4574.093701
577434	Pedestrian	-452.278329	4565.422953
577434	Pedestrian	-454.254154	4576.5508820000005
577434	Pedestrian	-446.07596399999994	4577.868709
577434	Pedestrian	-441.64134900000005	4562.04562
577434	Pedestrian	-438.18682	4549.759695000001
577434	Pedestrian	-444.954092	4574.983066
577434	Pedestrian	-451.29741500000006	4551.644719
577434	Vehicle	-439.37342300000006	4536.136523
577434	Pedestrian	-443.345766	4574.093701
577434	Pedestrian	-452.278329	4565.422953
577434	Pedestrian	-454.254154	4576.5508820000005
577434	Pedestrian	-446.07596399999994	4577.868709
577434	Pedestrian	-441.64134900000005	4562.04562
577434	Pedestrian	-438.18682	4549.759695000001
577434	Pedestrian	-444.954092	4574.983066
577434	Pedestrian	-451.29741500000006	4551.644719
577458	Vehicle	-439.456561	4536.200256
577458	Pedestrian	-443.354487	4574.157411
577458	Pedestrian	-452.147656	4564.916762
577458	Pedestrian	-454.24330999999995	4576.472742
577458	Pedestrian	-446.114601	4577.927728000001
577458	Pedestrian	-441.63554400000004	4562.011579
577458	Pedestrian	-438.17419400000006	4549.7301259999995
577458	Pedestrian	-444.876559	4575.579573
577458	Pedestrian	-451.29741500000006	4551.644719
577482	Vehicle	-439.513975	4536.2717
577482	Pedestrian	-452.114028	4564.680157
577482	Pedestrian	-454.17845199999994	4576.237105
577482	Pedestrian	-446.10442800000004	4577.772838
577482	Pedestrian	-441.656226	4562.124256
577482	Pedestrian	-438.165039	4549.601695
577482	Pedestrian	-444.739226	4575.7548369999995
577482	Pedestrian	-451.29741500000006	4551.644719
577482	Vehicle	-439.513975	4536.2717
577482	Pedestrian	-452.114028	4564.680157
577482	Pedestrian	-454.17845199999994	4576.237105
577482	Pedestrian	-446.10442800000004	4577.772838
577482	Pedestrian	-441.656226	4562.124256
577482	Pedestrian	-438.165039	4549.601695
577482	Pedestrian	-444.739226	4575.7548369999995
577482	Pedestrian	-451.29741500000006	4551.644719
577506	Vehicle	-439.549109	4536.350098
577506	Pedestrian	-452.05446900000004	4564.374106
577506	Pedestrian	-454.109088	4576.019493
577506	Pedestrian	-446.10034299999995	4577.636614
577506	Pedestrian	-441.68032	4562.219402000001
577506	Pedestrian	-438.167436	4549.381359
577506	Pedestrian	-444.61751399999997	4575.9097950000005
577506	Pedestrian	-451.29741500000006	4551.644719
577506	Pedestrian	-444.892282	4576.565794
577506	Vehicle	-439.549109	4536.350098
577506	Pedestrian	-452.05446900000004	4564.374106
577506	Pedestrian	-454.109088	4576.019493
577506	Pedestrian	-446.10034299999995	4577.636614
577506	Pedestrian	-441.68032	4562.219402000001
577506	Pedestrian	-438.167436	4549.381359
577506	Pedestrian	-444.61751399999997	4575.9097950000005
577506	Pedestrian	-451.29741500000006	4551.644719
577506	Pedestrian	-444.892282	4576.565794
577530	Vehicle	-439.566534	4536.431952
577530	Pedestrian	-452.00286600000004	4564.109039
577530	Pedestrian	-454.07146900000004	4575.872142
577530	Pedestrian	-446.101395	4577.516874
577530	Pedestrian	-441.69096399999995	4562.3004710000005
577530	Pedestrian	-438.15505	4549.274947999999
577530	Pedestrian	-444.485832	4575.861428
577530	Pedestrian	-451.29741500000006	4551.644719
577530	Pedestrian	-443.225285	4560.325441
577530	Pedestrian	-454.65311399999996	4577.286631
577530	Vehicle	-439.566534	4536.431952
577530	Pedestrian	-452.00286600000004	4564.109039
577530	Pedestrian	-454.07146900000004	4575.872142
577530	Pedestrian	-446.101395	4577.516874
577530	Pedestrian	-441.69096399999995	4562.3004710000005
577530	Pedestrian	-438.15505	4549.274947999999
577530	Pedestrian	-444.485832	4575.861428
577530	Pedestrian	-451.29741500000006	4551.644719
577530	Pedestrian	-443.225285	4560.325441
577530	Pedestrian	-454.65311399999996	4577.286631
577555	Vehicle	-439.57093899999995	4536.517388
577555	Pedestrian	-451.935782	4563.753429
577555	Pedestrian	-454.032284	4575.718651
577555	Pedestrian	-446.07311500000003	4577.228343
